//--------------------------------------------------------------------------
// słowo klucz(x);dopełniacz(1);celownik(2);biernik(3);więcej jeśli trzeba
// przykład {lookup: {0}; Case\Singular; 3}
//--------------------------------------------------------------------------


przemowa lidera;przemowy lidera;przemowie lidera;przemowę lidera

//-------------------------------------
//---------- CORE - ThingDef ----------
//-------------------------------------

// Alcohol_Beer.xml
piwo;piwa;piwu;piwo
brzeczka;brzeczki;brzeczce;brzeczkę

// Ambrosia.xml
ambrozja;ambrozji;ambrozji;ambrozję

// Apparel_Belts.xml
pas aktywnej osłony;pasa aktywnej osłony;pasowi aktywnej osłony;pas aktywnej osłony

// Apparel_Headgear.xml
hełm balistyczny;hełmu balistycznego;hełmowi balistycznemu;hełm balistyczny
hełm zwiadowcy;hełmu zwiadowcy;hełmowi zwiadowcy;hełm zwiadowcy
melonik;melonika;melonikowi;melonik
kapelusz kowbojski;kapelusza kowbojskiego;kapeluszowi kowbojskiemu;kapelusz kowbojski
kaptur;kaptura;kapturowi;kaptur
hełm marine;hełmu marine;hełmowi marine;hełm marine
hełm z folii PSI;hełmu z folii PSI;hełmowi z folii PSI;hełm z folii PSI
prosty hełm;prostego hełmu;prostemu hełmowi;prosty hełm
zimowa czapka;zimowej czapki;zimowej czapce;zimową czapkę
maska wojenna;maski wojennej;masce wojennej;maskę wojenną
chusta;chusty;chuście;chustę
plemienne nakrycie głowy;plemiennego nakrycia głowy;plemiennemu nakryciu głowy;plemienne nakrycie głowy

// Apparel_Packs.xml
paczka dymna;paczki dymnej;paczce dymnej;paczkę dymną

// Apparel_Utility.xml
lanca obłędu PSI;lancy obłędu PSI;lancy obłędu PSI;lancę obłędu PSI
lanca wstrząsu PSI;lancy wstrząsu PSI;lancy wstrząsu PSI;lancę wstrząsu PSI

// Apparel_Various.xml
prochowiec;prochowca;prochowcowi;prochowca
strój plemienny;stroju plemiennego;strojowi plemiennemu;strój plemienny
zbroja zwiadowcy;zbroi zwiadowcy;zbroi zwiadowcy;zbroję zwiadowcy
koszulka;koszulki;koszulce;koszulkę
koszula;koszuli;koszuli;koszulkę
kamizelka balistyczna;kamizelki balistycznej;kamizelce balistycznej;kamizelkę balistyczną
kamizelka kuloodporna;kamizelki kuloodpornej;kamizelce kuloodpornej;kamizelkę kuloodporną
kurtka;kurtki;kurtce;kurtkę
parka;parki;parce;parkę
zbroja płytowa;zbroi płytowej;zbroi płytowej;zbroję płytową
zbroja marine;zbroi marine;zbroi marine;zbroję marine
spodnie balistyczne;spodni balistycznych;spodniom balistycznym;spodnie balistyczne
spodnie;spodni;spodniom;spodnie

// Breach.xml
topór wyłomowy;topora wyłomowego;toporowi wyłomowemu;topór wyłomowy

// Buildings_Ancient.xml
starożytna betonowa bariera;starożytnej wyłomowej bariery;starożytnej wyłomowej barierze;starożytną wyłomową barierę
starożytna latarnia uliczna;starożytnej latarni ulicznej;starożytnej latarni ulicznej;starożytną latarnię uliczną
urna;urny;urnie;urnę

// Buildings_Art.xml
bałwan;bałwana;bałwanowi;bałwana
wielka rzeźba;wielkiej rzeźby;wielkiej rzeźbie;wielką rzeźbę
duża rzeźba;dużej rzeźby;dużej rzeźbie;dużą rzeźbę
